Demonstrations of kernel_cache_alloc_free.py, the Linux eBPF/bcc version.

This tracks kmem_cache_alloc and kmem_cache_free routines (using tracepoints).


# ./kernel_cache_alloc_free
Kernel cache allocation started ... Hit Ctrl-C to end!
TIME(S)            Call_site              ptr                      bytes_req       bytes_alloc  gfp_flags                      Command                       
8308825716036      18446744072166397952   0x18446629912970690560   4096            4096         0x7882827029131821248          _cache_alloc                  
8308825721282      18446744072166338560   0x18446629916912975872   256             256          0x7882827029131854016          _cache_alloc
8095383441419      18446744072166440960   0x18446629918628069376   192             192          0x7882827029131821248          _cache_alloc                  
8095383443449      18446744072166338560   0x18446629913298055168   256             256          0x7882827029131854016          _cache_alloc                  
8095383449677      18446744072165994496   0x18446629913384112128   200             200          0x7882827029131854016          _cache_alloc                  
8095383480867      18446744072166440960   0x18446629917439989760   192             192          0x7882827029131821248          _cache_alloc                  
8095383482685      18446744072166338560   0x18446629917999499264   256             256          0x7882827029131854016          _cache_alloc                  
8095383491563      18446744072165994496   0x18446629920268324864   200             200          0x7882827029131854016          _cache_alloc                  
8095393699946      18446744072171925504   0x18446629918153824256   0               0            0x7882827029110849536          _cache_free                   
8095393818910      18446744072171925504   0x18446629920234741760   0               0            0x7882827029110849536          _cache_free                   
8095394330134      18446744072171925504   0x18446629920234741760   0               0            0x7882827029110849536          _cache_free                   


Remark : Use Ctrl-C to stop kernel_cache_alloc_free.py

